date,foreign,institution,individual,pension,trust,close
2022-10-07,100475.0,-153822.0,45833.0,81745.0,-13466.0,2232.84
2022-10-11,196594.0,-309713.0,108596.0,138890.0,-38435.0,2192.07
2022-10-12,237961.0,-104997.0,-145973.0,-27826.0,30529.0,2202.47
2022-10-13,201244.0,-299356.0,72025.0,-146394.0,-65748.0,2162.87
2022-10-14,261830.0,363116.0,-622880.0,64372.0,36761.0,2212.55
2022-10-17,262092.0,-317273.0,54532.0,-30970.0,-12307.0,2219.71
2022-10-18,78068.0,154636.0,-227883.0,-30849.0,20155.0,2249.95
2022-10-19,149681.0,-82378.0,-91144.0,-29396.0,48558.0,2237.44
2022-10-20,-23229.0,-409447.0,399926.0,-45441.0,-42665.0,2218.09
2022-10-21,32611.0,8884.0,-69529.0,-79414.0,-48343.0,2213.12
2022-10-24,145260.0,321633.0,-482270.0,-45862.0,26247.0,2236.16
2022-10-25,73095.0,65735.0,-134208.0,-49748.0,13627.0,2235.07
2022-10-26,600311.0,-107839.0,-496989.0,-47679.0,32029.0,2249.56
2022-10-27,378685.0,514526.0,-903795.0,-52390.0,18690.0,2288.78
2022-10-28,-192114.0,251965.0,-67948.0,-58486.0,-52831.0,2268.4
2022-10-31,230292.0,-27864.0,-205781.0,-44487.0,5759.0,2293.61
2022-11-01,492385.0,194279.0,-723357.0,5348.0,32168.0,2335.22
2022-11-02,524089.0,-338345.0,-181761.0,-23487.0,24272.0,2336.87
2022-11-03,173497.0,-584132.0,387538.0,81730.0,31814.0,2329.17
2022-11-04,42045.0,101390.0,-145786.0,-35224.0,29910.0,2348.43
2022-11-07,111968.0,276717.0,-404992.0,-56973.0,50840.0,2371.79
2022-11-08,278066.0,436099.0,-723862.0,-10201.0,-4490.0,2399.04
2022-11-09,414668.0,346560.0,-776952.0,-10604.0,-101.0,2424.41
2022-11-10,-108199.0,-168714.0,239380.0,-55407.0,-28009.0,2402.23
2022-11-11,700348.0,991477.0,-1673170.0,6365.0,51688.0,2483.16
2022-11-14,143156.0,-171342.0,19449.0,-65716.0,-37630.0,2474.65
2022-11-15,-235608.0,-80053.0,325806.0,-76850.0,-105624.0,2480.33
2022-11-16,88400.0,-230432.0,178236.0,-122576.0,-85304.0,2477.45
2022-11-17,-382028.0,-120384.0,487911.0,-49874.0,-13243.0,2442.9
2022-11-18,199529.0,-77526.0,-150258.0,-57106.0,46906.0,2444.48
2022-11-21,-164942.0,79836.0,66295.0,-54440.0,-18371.0,2419.5
2022-11-22,15747.0,-3362.0,-24200.0,-61189.0,17028.0,2405.27
2022-11-23,90288.0,-24469.0,-96726.0,-71926.0,-2978.0,2418.01
2022-11-24,126297.0,65983.0,-217792.0,11433.0,34575.0,2441.33
2022-11-25,313051.0,32897.0,-115888.0,-5032.0,7450.0,2437.86
2022-11-28,-122561.0,-266133.0,353372.0,-67050.0,-38458.0,2408.27
2022-11-29,60108.0,317250.0,-390916.0,61977.0,25530.0,2433.39
2022-11-30,1128604.0,-497154.0,-610035.0,-2248.0,29643.0,2472.53
2022-12-01,32557.0,227624.0,-279288.0,-18757.0,4082.0,2479.84
2022-12-02,-403398.0,-509245.0,909540.0,-41186.0,-32514.0,2434.33
2022-12-05,-293118.0,-14932.0,302194.0,-2311.0,-28897.0,2419.32
2022-12-06,-96802.0,-306331.0,381060.0,-54027.0,-39288.0,2393.16
2022-12-07,-196153.0,-982.0,181436.0,-25820.0,-12347.0,2382.81
2022-12-08,-476145.0,226040.0,206384.0,-70780.0,61786.0,2371.08
2022-12-09,99499.0,407631.0,-509640.0,22275.0,-11711.0,2389.04
2022-12-12,17103.0,-43993.0,-39.0,-13375.0,2756.0,2373.02
2022-12-13,-111781.0,44096.0,34875.0,-4857.0,18275.0,2372.4
2022-12-14,231782.0,214226.0,-452214.0,2850.0,8908.0,2399.25
2022-12-15,-56187.0,-437088.0,457837.0,-32841.0,-8719.0,2360.97
2022-12-16,292220.0,-351478.0,26264.0,702.0,-29029.0,2360.02
2022-12-19,-24134.0,28182.0,-17651.0,-7252.0,-9265.0,2352.17
2022-12-20,-104467.0,-26769.0,103480.0,-31076.0,-10257.0,2333.29
2022-12-21,-103303.0,183919.0,-89186.0,-4931.0,5930.0,2328.95
2022-12-22,-5703.0,585242.0,-565979.0,7019.0,79589.0,2356.73
2022-12-23,-69634.0,251369.0,-185000.0,20398.0,2888.0,2313.69
2022-12-26,-40575.0,660636.0,-614136.0,-17765.0,26484.0,2317.14
2022-12-27,48276.0,1048896.0,-1133118.0,-66863.0,60738.0,2332.79
2022-12-28,-303408.0,-828611.0,1077391.0,-624.0,56865.0,2280.45
2022-12-29,-140280.0,-576300.0,670970.0,-1006.0,14269.0,2236.4
2023-01-02,6601.0,-266420.0,222970.0,-23713.0,13169.0,2225.67
2023-01-03,91760.0,-355787.0,274820.0,6458.0,-1798.0,2218.68
2023-01-04,260666.0,-156.0,-295934.0,39545.0,122390.0,2255.98
2023-01-05,503160.0,-351706.0,-164545.0,41988.0,21569.0,2264.65
2023-01-06,314060.0,243733.0,-564021.0,88458.0,76575.0,2289.97
2023-01-09,651748.0,741932.0,-1395183.0,47349.0,86464.0,2350.19
2023-01-10,-2230.0,296872.0,-298768.0,1707.0,36569.0,2351.31
2023-01-11,33622.0,174551.0,-206389.0,887.0,13945.0,2359.53
2023-01-12,484324.0,-437128.0,-48896.0,-59584.0,30053.0,2365.1
2023-01-13,568167.0,212673.0,-777380.0,30440.0,22933.0,2386.09
2023-01-16,287875.0,221760.0,-490635.0,-552.0,15198.0,2399.86
2023-01-17,177097.0,-309599.0,128211.0,-53370.0,-7530.0,2379.39
2023-01-18,72844.0,-216607.0,148970.0,-36943.0,-52747.0,2368.32
2023-01-19,570304.0,-314781.0,-260223.0,-80967.0,-10880.0,2380.34
2023-01-20,230833.0,9141.0,-246516.0,-18699.0,5360.0,2395.26
2023-01-25,764694.0,27569.0,-790317.0,3922.0,1430.0,2428.57
2023-01-26,811983.0,247197.0,-1052283.0,9856.0,102362.0,2468.65
2023-01-27,969598.0,223472.0,-1184837.0,-3608.0,-5959.0,2484.02
2023-01-30,16391.0,-412396.0,461935.0,46356.0,-87839.0,2450.47
